"Relative Time","Throughput"
"00:00","23077"
"00:08","0"
"00:16","23076.88"
"00:24","0"
"00:32","23076.88"
"00:40","12387.88"
"00:48","35464.75"
"00:56","0"
"01:04","20463.25"
"01:12","0"
"01:20","20462.63"
"01:28","0"
"01:36","0"
"01:44","8475.125"
"01:52","16150"
"02:00","0"
"02:08","0"
"02:16","16150.38"
"02:24","16147.63"
"02:32","0"
"02:40","0"
"02:48","16149"
"02:56","16152.38"
"03:04","0"
"03:12","0"
"03:20","16148.75"
"03:28","16148.88"
"03:36","0"
"03:44","0"
"03:52","16147.25"
"04:00","16149.63"
"04:08","0"
"04:16","0"
"04:24","16152.25"
"04:32","16149.13"
"04:40","0"
"04:48","0"
"04:56","0"
"05:04","0"
"05:12","14986.75"
"05:20","0"
"05:28","0"
"05:36","0"
"05:44","32301"
"05:52","0"
"06:00","0"
"06:08","0"
"06:16","32298.38"
"06:24","0"
"06:32","0"
"06:40","0"
"06:48","24223.13"
"06:56","0"
"07:04","0"
"07:12","0"
"07:20","16147.63"
"07:28","0"
"07:36","0"
